OPPORTUNITY_TK,VERSION,DATE_FROM,DATE_TO,OPPORTUNITY_ID,OPPORTUNITY_NAME,OPPORTUNITY_CREATED_BY,OPPORTUNITY_DELETED,OPPORTUNITY_DESCRIPTION,OPPORTUNITY_TYPE,OPPORTUNITY_LEAD_SOURCE,OPPORTUNITY_NEXT_STEPS,OPPORTUNITY_SALES_STAGE
118,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5D9294F6-A479-5096-3833-ECC906769E7A,Sem Corp.-759,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Needs Analysis
119,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2F15CAC4-A70B-EA12-4B2A-0AA569962601,Molestie Orci Tincidunt Limited-935,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Value Proposition
120,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A76BC2A1-89EC-37EF-46F2-0F285BA09665,Posuere Vulputate Corporation-636,Not Set,No,Not Set,Existing Business,Partner,Not Set,Prospecting
121,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3905A134-C6A3-2E61-A5FF-875F9094B49D,Lacus Varius Company-729,Not Set,No,Not Set,New Business,Partner,Not Set,Closed Lost
122,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9D98CC87-3EC6-34DD-981E-B9616283326A,Sapien Aenean Ltd-766,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Negotiation/Review
123,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,01DD1B55-FA76-E010-D58A-6972AB6C35CF,Fames Ac Turpis Corporation-287,Not Set,No,Not Set,Existing Business,Employee,Not Set,Perception Analysis
124,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EA9E2B04-2A38-802C-5A16-12320C99BA55,Nibh Enim PC-897,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Lost
125,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6C910521-BBCA-3CE6-EEF6-F9D55068C900,Ac Feugiat Non Incorporated-759,Not Set,No,Not Set,Existing Business,Partner,Not Set,Needs Analysis
126,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,32A42696-DEF9-637A-3F7D-A099F4EA1ECE,Ornare Sagittis LLC-930,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Needs Analysis
127,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,49ED9A06-FDB8-3BFF-28BD-988439D607B7,Libero Donec Consectetuer LLP-949,Not Set,No,Not Set,New Business,Cold Call,Not Set,Value Proposition
128,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7812E7C2-E022-6505-03AD-CAC5243380B6,Ante Ipsum Primis Associates-357,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Closed Won
129,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,8DF54227-6A1A-2509-C28E-523798677C96,Nascetur Ridiculus Mus Institute-492,Not Set,No,Not Set,New Business,Web Site,Not Set,Prospecting
130,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3A59CA3B-8BA8-E3D3-BA0E-5FF2DF2B551F,Et Eros Proin Company-194,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Prospecting
131,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2CE53E26-584B-AA22-1CB5-0A59F7934577,Justo Consulting-495,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Negotiation/Review
132,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,67D20A2D-C735-0E73-2350-0132A3EDB55B,Dolor Fusce Feugiat Corp.-820,Not Set,No,Not Set,Existing Business,Partner,Not Set,Value Proposition
133,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D9439A65-4F7E-4BAF-2E6E-A1AB67B97A23,Felis Company-513,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Prospecting
134,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,936D26D8-EA22-FDCC-218A-42DF4500A85D,Gravida Sagittis LLP-879,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Proposal/Price Quote
135,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CC59854F-D446-E93E-8DFF-8C34A1759B38,Nullam Lobortis Quam Industries-491,Not Set,No,Not Set,Existing Business,Conference,Not Set,Closed Won
136,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9AB02DB2-A8D1-E2FA-4C5C-E50DC2F4EDDA,Gravida Sagittis LLP-453,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Value Proposition
137,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,51C8CA6E-5D23-A638-D296-56539EE7B6C5,Luctus Et Corp.-975,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Closed Lost
138,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,06D9D862-3373-42A5-D856-A7B20AB16088,Dolor Fusce Feugiat Corp.-936,Not Set,No,Not Set,New Business,Self Generated,Not Set,Identifying Decision Makers
139,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,03ABD04E-25B2-A764-0B95-54CE10FCC36E,In Tempus Eu Industries-640,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Prospecting
140,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5960413C-53F2-0470-9476-529CEE3A3270,Pellentesque LLP-396,Not Set,No,Not Set,Existing Business,Partner,Not Set,Identifying Decision Makers
141,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D331731D-7C38-F130-BE13-E3FA7C620783,Ipsum Leo Elementum LLP-173,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Prospecting
142,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7E11525D-5F1F-E8E4-A66B-E21FC11EC2E6,Hendrerit Corp.-947,Not Set,No,Not Set,New Business,Partner,Not Set,Needs Analysis
143,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9BA69480-605C-C0CB-BB06-61634AAAB446,Felis Company-243,Not Set,No,Not Set,New Business,Campaign,Not Set,Value Proposition
144,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E8889695-4E9D-A030-A8BC-FB5363EC9C68,Nascetur Ridiculus Mus Institute-383,Not Set,No,Not Set,New Business,Web Site,Not Set,Qualification
145,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,89B8F704-A8DD-D80D-7C46-FA2C65F8FFB0,Facilisi Sed Inc.-726,Not Set,No,Not Set,New Business,Email,Not Set,Qualification
146,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,83AADB02-EBD4-C5ED-AF0E-9799C79A7213,Mauris Rhoncus Institute-677,Not Set,No,Not Set,New Business,Other,Not Set,Closed Won
147,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,775D9655-9478-7127-D4C5-DBF15F225E75,Urna Convallis Erat Incorporated-377,Not Set,No,Not Set,New Business,Email,Not Set,Perception Analysis
148,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BC6AAF53-4810-7E04-57E1-B7B8370F20A1,Pellentesque Ut LLC-665,Not Set,No,Not Set,New Business,Campaign,Not Set,Proposal/Price Quote
149,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,32DECAED-E475-5365-4D60-ED6C3DF0650D,Lobortis Company-164,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Closed Won
150,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,230E427C-6169-6B16-CB14-1A8DB8FAF3CE,Parturient Montes PC-824,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Qualification
151,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9765F129-D279-7443-F09B-30197D6E5F96,Fringilla Porttitor Vulputate Foundation-650,Not Set,No,Not Set,New Business,Self Generated,Not Set,Value Proposition
152,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E8A5A9B8-3A36-3C92-090F-993C38AA31D5,A Arcu Institute-223,Not Set,No,Not Set,Existing Business,Campaign,Not Set,Value Proposition
153,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,27554B59-BABC-C309-1268-55B022E007AC,Orci Lacus Vestibulum Inc.-972,Not Set,No,Not Set,New Business,Conference,Not Set,Needs Analysis
154,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AA434018-38A2-D5ED-7403-4986FBBC5D5E,Pellentesque A Facilisis Associates-838,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Qualification
155,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,95CA5627-5326-61F5-22C5-9E8340368DC1,Sed LLC-667,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Needs Analysis
156,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,95BBEF1C-46C0-D03E-B8D7-F1C9E727B247,Sem Corp.-593,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Value Proposition
157,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,73D61D31-5746-551A-5CC4-6768ECA1AD71,Donec Nibh Enim Industries-811,Not Set,No,Not Set,Existing Business,Employee,Not Set,Needs Analysis
158,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,546F4EC3-D0F3-C515-4167-675FD7B51579,Curabitur Massa Vestibulum Consulting-910,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Closed Lost
159,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,60A24515-6588-3614-7512-CC26507F546E,Eget Institute-206,Not Set,No,Not Set,New Business,Email,Not Set,Negotiation/Review
160,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,83C8B656-2F40-1EAD-2EB2-EDADA18AB59F,Curabitur Massa Vestibulum Consulting-177,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Proposal/Price Quote
161,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,55C453D0-3818-6164-3B61-3DC7F225A080,Adipiscing Inc.-302,Not Set,No,Not Set,New Business,Self Generated,Not Set,Closed Lost
162,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A80A3C97-8398-13A2-DC4E-570855535D65,Fringilla Est Inc.-424,Not Set,No,Not Set,Existing Business,Other,Not Set,Closed Won
163,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,250B2754-A42D-60F8-B994-5D609DF65A3A,Dignissim Lacus Institute-752,Not Set,No,Not Set,New Business,Self Generated,Not Set,Negotiation/Review
164,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5904726C-6215-EFAB-A2F0-89404D918467,Ligula Aliquam Erat Institute-209,Not Set,No,Not Set,Existing Business,Partner,Not Set,Negotiation/Review
165,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1DA3743E-51F5-5724-343B-BE99D8CBDA55,Lectus Incorporated-582,Not Set,No,Not Set,Existing Business,Public Relations,Not Set,Qualification
166,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3072796E-B83E-271E-4AB1-43AFCB4A01D2,Lacus Varius Company-424,Not Set,No,Not Set,Existing Business,Email,Not Set,Closed Lost
167,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,00B6A7B1-1F39-F01B-F902-942DF416FEB8,Ante Ipsum Primis Associates-509,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Closed Won
168,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E64F2149-6C60-FEA2-04A1-C8C54646F888,Auctor Non Feugiat Ltd-733,Not Set,No,Not Set,New Business,Trade Show,Not Set,Identifying Decision Makers
169,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4752E70F-5B66-7679-122E-63411C88B6FF,Pede Ultrices A LLC-423,Not Set,No,Not Set,New Business,Other,Not Set,Prospecting
170,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,25DF5ED1-D708-5F7E-1C10-5152B41F5521,Odio Aliquam Vulputate Corp.-982,Not Set,No,Not Set,New Business,Public Relations,Not Set,Identifying Decision Makers
171,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,556006E8-05D0-C114-332B-E8914D8D6518,Lobortis Company-569,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Needs Analysis
172,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,250A478C-D860-5FD8-EC09-347FEE27A7D2,Porttitor Tellus Non PC-264,Not Set,No,Not Set,Existing Business,Conference,Not Set,Prospecting
173,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7A726958-25B8-018A-DD75-7588907E624F,Ligula Associates-690,Not Set,No,Not Set,New Business,Email,Not Set,Qualification
174,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B0259F03-BF03-000E-A563-B03B51EB96CB,In Tempus Eu Industries-369,Not Set,No,Not Set,Existing Business,Employee,Not Set,Proposal/Price Quote
175,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,7C91A9E3-4BDE-6761-FD80-E4BFDD5D1FE3,Fringilla Est Inc.-699,Not Set,No,Not Set,New Business,Other,Not Set,Closed Won
176,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,DEC187A2-E649-9B8C-10AD-81492283EF5E,Porttitor Tellus Non PC-330,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Lost
177,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C850B3B0-F16A-82EE-89FD-A0DA53EDDF50,Eu Odio Corporation-496,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Value Proposition
178,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EAE8CA41-4511-192A-AC63-6700756EAAF8,Sed Facilisis Incorporated-577,Not Set,No,Not Set,Existing Business,Other,Not Set,Value Proposition
179,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CD6D3707-1168-1AF6-0CA2-6447D14E73AE,Urna Nec Institute-803,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Closed Won
180,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,BFEE2C6A-5BED-88F7-94BF-89970CAAEB01,Est Ltd-993,Not Set,No,Not Set,New Business,Conference,Not Set,Value Proposition
181,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,60BE79F1-9017-A084-1380-410FDECB5BD4,Odio Aliquam Vulputate Corp.-491,Not Set,No,Not Set,New Business,Self Generated,Not Set,Prospecting
182,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,04F5463C-6211-C4C0-2576-49BDBBC9EA94,Pellentesque LLP-111,Not Set,No,Not Set,New Business,Trade Show,Not Set,Perception Analysis
183,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,10FA450A-4083-FE2D-7934-3FE2480230A1,Pellentesque PC-468,Not Set,No,Not Set,Existing Business,Partner,Not Set,Prospecting
184,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9F8CA1CD-0A53-58DF-0A10-DE905E287861,Mollis Integer LLP-482,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Qualification
185,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,CD2823E8-69AF-40F3-9665-B7C9DA8661F6,Facilisis Vitae Inc.-240,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Closed Won
186,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F071C148-B9EB-0D71-81E6-B3351E3F9EC1,Hendrerit Corp.-243,Not Set,No,Not Set,Existing Business,Other,Not Set,Closed Won
187,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B7E7191F-4FF6-A1DE-7DAF-0CCF847AF939,Orci Lacus Vestibulum Inc.-336,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Perception Analysis
188,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D9DBD1A7-D005-FCBD-86AB-C4631CDBEF45,Facilisi Sed Inc.-584,Not Set,No,Not Set,New Business,Other,Not Set,Value Proposition
189,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4548514B-8442-A49E-11DD-EFFF786B9CC5,Enim Mauris Quis LLP-409,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Negotiation/Review
190,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,AC0C37B9-5825-170C-DC69-410C857C1BB5,Ante Ipsum Primis Consulting-715,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Closed Won
191,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B5587014-17F9-2634-ECAF-64BA93B2DFC2,Ornare Sagittis LLC-284,Not Set,No,Not Set,New Business,Trade Show,Not Set,Value Proposition
192,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E866807D-611D-697E-E22A-A6A7427CDECC,Sed Facilisis Incorporated-680,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Proposal/Price Quote
193,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,233A4D6D-698F-8DC6-54C6-156B71E1A975,Sapien Aenean Ltd-449,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Qualification
194,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B519287B-681D-D506-030C-FC7ABAD968CE,Ante Ipsum Primis Consulting-710,Not Set,No,Not Set,New Business,Public Relations,Not Set,Closed Won
195,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,45AC96E1-2A60-C7C5-E534-9C6067B926C3,Sed Tortor Integer Inc.-120,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Needs Analysis
196,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,026A7197-9641-A5DD-F20B-2E2E83538BF6,Scelerisque Limited-585,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Closed Lost
197,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E3FAF331-0BD7-BA88-1223-9EF1FD8D5F61,Pellentesque LLP-302,Not Set,No,Not Set,New Business,Web Site,Not Set,Prospecting
198,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,14429055-6829-2BFC-707B-335231B98437,Pellentesque PC-947,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Proposal/Price Quote
199,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A39345E4-A893-24AE-6450-60E845FB48A9,Purus Maecenas Ltd-708,Not Set,No,Not Set,Existing Business,Partner,Not Set,Prospecting
200,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,C45BC6DB-56F0-F6DA-1949-04B55B71EB51,Lectus Incorporated-215,Not Set,No,Not Set,Existing Business,Email,Not Set,Closed Won
201,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D325544F-D737-38C8-134D-A7F0C9662779,Bibendum Fermentum Metus Corporation-967,Not Set,No,Not Set,Existing Business,Email,Not Set,Perception Analysis
202,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,B32B6EFF-4422-EC03-A88D-38608FA7BB4E,Parturient Montes PC-586,Not Set,No,Not Set,Existing Business,Partner,Not Set,Identifying Decision Makers
203,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,A5D89534-C108-05B1-DDCD-1EABC37D8621,Molestie Orci Tincidunt Limited-511,Not Set,No,Not Set,Existing Business,Word of mouth,Not Set,Qualification
204,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,673F89A2-ECAA-24EF-537C-161AA5DCA804,Sapien Molestie Foundation-854,Not Set,No,Not Set,New Business,Self Generated,Not Set,Perception Analysis
205,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,678A86B7-415F-62B0-F59E-1439D66BF8C1,Ac Nulla LLP-234,Not Set,No,Not Set,New Business,Conference,Not Set,Value Proposition
206,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,E7E4E227-DA2A-2327-88E7-A0DF67A25B2C,Gravida Sagittis LLP-412,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Perception Analysis
207,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FF4EE2A4-E5F6-5BC4-BE8E-3EDC5B16BD9C,Id LLP-908,Not Set,No,Not Set,New Business,Partner,Not Set,Perception Analysis
208,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,0CD6203E-A104-2DAC-DB6A-1E310F1EA313,Sociosqu Ad Company-382,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Value Proposition
209,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,9E39F1E4-3791-0E3C-5790-53EF7FAED78B,Ipsum Donec PC-878,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Prospecting
210,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,98E9E9DA-CA24-B241-C27F-DB0321032FF7,Posuere Vulputate Corporation-593,Not Set,No,Not Set,New Business,Cold Call,Not Set,Closed Won
211,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,993BA72C-30EB-7F8C-3EBD-A3EA988BC286,Orci Lacus Vestibulum Inc.-605,Not Set,No,Not Set,Existing Business,Trade Show,Not Set,Perception Analysis
212,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,F801ABE6-1822-055A-26D9-9047E7BA9B5C,Enim Mauris Quis LLP-767,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Closed Lost
213,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,D8CA602E-E378-F748-55BA-ED47A4BE019D,Sociosqu Ad Company-879,Not Set,No,Not Set,New Business,Partner,Not Set,Identifying Decision Makers
214,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,483EAB81-A24A-0AEC-842B-A2154361B991,Vestibulum Massa Consulting-660,Not Set,No,Not Set,Existing Business,Other,Not Set,Proposal/Price Quote
215,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,012A3635-1058-9B90-3716-4E03AD19A3D4,Sociis Natoque LLC-279,Not Set,No,Not Set,New Business,Conference,Not Set,Negotiation/Review
216,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1EB99C3F-C331-1664-8F13-D334921E181E,Sapien Aenean Ltd-647,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Identifying Decision Makers
217,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,6295396F-BDB1-0422-4908-9C6D81904C4D,A Arcu Institute-181,Not Set,No,Not Set,New Business,Self Generated,Not Set,Closed Lost
218,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,87F89D10-702C-EB8E-97B7-C589D42FC4D0,Scelerisque Lorem Inc.-551,Not Set,No,Not Set,New Business,Web Site,Not Set,Perception Analysis
219,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,95D1FB53-3F70-F342-7D85-F5247A3B73C5,Sociis Natoque LLC-997,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Value Proposition
220,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EBB87912-70AB-FDD1-39E2-FEF87B854BA9,Sociosqu Ad Company-885,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Negotiation/Review
221,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,55A49C1C-FC1C-4846-B3A9-651970D147F3,Mauris Rhoncus Institute-997,Not Set,No,Not Set,New Business,Direct Mail,Not Set,Closed Won
222,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1D579C6E-C242-3708-955C-C0B64C48792C,Sed Est Foundation-970,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Identifying Decision Makers
223,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,5EB14677-F580-7817-E8B0-7E6901C6FB7F,Sapien Molestie Foundation-911,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Qualification
224,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,169F8B70-5C03-D211-3193-A509F4A56815,Fames Ac Turpis Corporation-908,Not Set,No,Not Set,Existing Business,Partner,Not Set,Qualification
225,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,FF258D33-0584-B2B9-8CEB-5BA34C909C83,Curabitur Vel Institute-318,Not Set,No,Not Set,New Business,Other,Not Set,Qualification
226,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,73AF3B07-C6CB-83FD-71C8-A82981DE6930,Sociosqu Ad Company-789,Not Set,No,Not Set,Existing Business,Cold Call,Not Set,Value Proposition
227,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4416CBEB-4DB7-FD4C-4D29-DDB33AB34831,In Tempus Eu Industries-297,Not Set,No,Not Set,New Business,Web Site,Not Set,Negotiation/Review
228,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,27B8FD32-66A6-EF82-F516-B349CA92EE3D,Et Limited-208,Not Set,No,Not Set,Existing Business,Direct Mail,Not Set,Negotiation/Review
229,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1AA1A8D6-7F07-DD2D-C159-51725F9AFF9E,Primis In Faucibus LLP-167,Not Set,No,Not Set,New Business,Existing Customer,Not Set,Prospecting
230,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,4CCB941D-901F-7F55-F3EF-9EAC10A5CB7F,A Arcu Institute-125,Not Set,No,Not Set,New Business,Campaign,Not Set,Identifying Decision Makers
231,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,3971F0AE-9293-9D8D-73E4-37855D0BE05C,Tempor Ltd-256,Not Set,No,Not Set,Existing Business,Web Site,Not Set,Proposal/Price Quote
232,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,ECF69F63-E3D4-4D4A-B76E-39AD779C3A55,Pellentesque PC-877,Not Set,No,Not Set,Existing Business,Self Generated,Not Set,Prospecting
233,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,2C7E10FA-798D-827A-E192-748ECAC5665D,Luctus Et Corp.-586,Not Set,No,Not Set,Existing Business,Employee,Not Set,Perception Analysis
234,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,EFF8FC7E-FB8F-49F8-01C7-A1A511709D71,Et Corp.-920,Not Set,No,Not Set,New Business,Word of mouth,Not Set,Negotiation/Review
235,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,1795C597-80FD-8C70-55FF-20620F21B864,Urna Convallis Erat Incorporated-803,Not Set,No,Not Set,New Business,Public Relations,Not Set,Closed Won
236,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,DF99E97C-5B34-24B4-C926-AE0D7C7D1F0D,Velit Dui Semper Institute-757,Not Set,No,Not Set,Existing Business,Other,Not Set,Closed Lost
237,1,1900/01/01 00:00:00.000000000,2200/01/01 00:00:00.000000000,24FA6A06-9C78-4C5A-093D-A9A52AA3A9DF,Vestibulum Massa Consulting-698,Not Set,No,Not Set,Existing Business,Existing Customer,Not Set,Negotiation/Review
